customer_id,segment,region,tenure_months,purchases_90d,avg_order_value,support_contacts_90d,days_since_last_purchase,accepted_product
SYN-00001,consumer,east,164,6,10,3,1,product_a
SYN-00002,small_business,north,14,3,543.39,2,40,product_b
SYN-00003,enterprise,north,114,26,758.35,0,35,product_a
SYN-00004,enterprise,north,148,12,716.18,1,68,product_a
SYN-00005,enterprise,north,92,12,1192.8,1,89,product_a
SYN-00006,small_business,north,148,6,212.69,1,73,product_b
SYN-00007,small_business,west,155,2,344.4,2,143,product_b
SYN-00008,small_business,south,132,10,125.69,2,105,product_a
SYN-00009,enterprise,south,32,15,1144.51,3,142,product_c
SYN-00010,small_business,south,99,3,487.62,1,171,product_c
SYN-00011,consumer,east,152,7,199.85,1,84,product_a
SYN-00012,small_business,west,102,13,362.9,3,72,product_b
SYN-00013,consumer,north,111,2,44.05,3,12,product_b
SYN-00014,consumer,east,163,4,102.43,3,15,product_a
SYN-00015,small_business,west,151,14,329.5,0,117,product_a
SYN-00016,small_business,west,40,8,294.64,3,4,product_a
SYN-00017,small_business,south,167,3,350.75,4,113,product_b
SYN-00018,enterprise,west,110,10,1091.99,0,170,product_b
SYN-00019,consumer,north,115,7,10,1,79,product_a
SYN-00020,consumer,north,141,5,73.98,5,70,product_c
SYN-00021,small_business,west,161,18,435.56,3,116,product_a
SYN-00022,small_business,north,79,7,253.22,3,65,product_b
SYN-00023,enterprise,west,156,21,837.25,1,48,product_a
SYN-00024,small_business,north,145,6,291.24,2,32,product_b
SYN-00025,small_business,south,41,17,430.45,2,38,product_a
SYN-00026,consumer,west,136,5,10,4,8,product_a
SYN-00027,enterprise,east,35,8,1192.96,2,98,product_b
SYN-00028,consumer,west,53,6,10,3,104,product_a
SYN-00029,enterprise,east,36,12,990.77,2,5,product_c
SYN-00030,consumer,west,105,0,206.28,0,78,product_b
SYN-00031,consumer,south,90,1,10,5,31,product_c
SYN-00032,small_business,north,16,10,263.51,0,126,product_a
SYN-00033,consumer,south,9,5,10,0,36,product_a
SYN-00034,enterprise,east,101,16,931.88,3,155,product_a
