control_id,title,risk_ids,control_objective,reference_implementation,production_status,evidence_required
AC-2,Account Management,"R-01; R-09","Provision review and remove human/service accounts across data ML registry API and logging","Enterprise lifecycle plus non-shared service identities",Not assessed,"Account inventory; lifecycle tickets; periodic review"
AC-3,Access Enforcement,"R-01; R-05","Enforce authorized purpose and role at every interface","Gateway/IAM policy and resource-level checks; lab API key demonstrates only a boundary",Prototype partial,"Policy/configuration; positive and negative authorization tests"
AC-5,Separation of Duties,"R-04; R-09","Separate data change model development validation approval and deployment","Two-person promotion and independent validation",Not assessed,"Role matrix; approvals; denied-action test"
AC-6,Least Privilege,"R-01; R-04; R-09","Grant minimum data model deployment and log access","Scoped roles and short-lived workload identities",Not assessed,"Role grants; access review; token claims"
AU-2,Event Logging,"R-01; R-04; R-09","Define and log security and model-lifecycle events","Lab emits request/model/outcome metadata without raw feature body",Prototype partial,"Event catalog; sample logs; stakeholder approval"
AU-3,Content of Audit Records,R-10,"Record who what when where result and model/version context","Structured lab events include request ID action result and model version",Prototype partial,"Schema test; sample redacted records"
AU-6,Audit Record Review Analysis and Reporting,"R-01; R-05; R-09","Detect abnormal access export query and administrative behavior","Alerts for query bursts exports failed integrity and model promotion",Not assessed,"Detection rules; alert simulation; tickets"
AU-9,Protection of Audit Information,"R-09; R-10","Prevent unauthorized log access modification and deletion","Restricted append-only central logging",Not assessed,"ACL; immutability configuration; test"
AU-11,Audit Record Retention,R-10,"Retain audit data for approved security legal and privacy needs","Documented retention with deletion and legal-hold rules",Not assessed,"Retention settings; deletion test; approval"
CA-2,Control Assessments,R-07,"Independently assess selected security privacy and model-risk controls","Use this assessment plan with qualified independent reviewers",Not assessed,"Assessment report; findings; assessor independence"
CA-7,Continuous Monitoring,R-08,"Monitor controls system changes vulnerabilities quality and risk","Drift quality abuse security and availability metrics with triggers",Prototype partial,"Strategy; dashboards; alerts; review minutes"
CM-3,Configuration Change Control,"R-02; R-04","Review approve test and record data feature model threshold and deployment changes","Pull requests plus protected approval environment",Repository partial,"Change records; reviews; deployment linkage"
CM-5,Access Restrictions for Change,"R-04; R-09","Restrict who can modify code data models thresholds and deployment","Protected branches registry ACL and deploy role",Repository partial,"Settings export; role test; audit trail"
CP-2,Contingency Plan,R-06,"Define service fallback recovery roles communications and exercises","Manual sales fallback and dependency/model rollback plan",Not assessed,"Approved plan; exercise; lessons learned"
CP-10,System Recovery and Reconstitution,R-06,"Restore a known-good service and model within approved objectives","Immutable prior model and tested restore procedure",Not assessed,"Restore/rollback result; timing evidence"
IA-2,Identification and Authentication (Organizational Users),"R-01; R-09","Uniquely authenticate users with stronger protection for privileged access","Enterprise SSO and phishing-resistant MFA",Not assessed,"IdP policy; MFA test; exception list"
IR-4,Incident Handling,"R-01; R-02; R-03; R-04; R-05; R-06; R-07; R-08; R-09; R-10","Coordinate detection analysis containment eradication recovery and post-incident action","AI/data/model incident playbooks linked to enterprise response",Not assessed,"Tabletop; incident records; corrective actions"
IR-6,Incident Reporting,"R-01; R-03; R-07; R-10","Report security privacy supplier and AI incidents to required parties","Notification matrix with timeframes and owner",Not assessed,"Matrix; exercise; reporting evidence"
IR-8,Incident Response Plan,"R-01; R-02; R-03; R-04; R-05; R-06; R-07; R-08; R-09; R-10","Maintain approved response plan covering AI lifecycle and dependencies","Model rollback data quarantine customer response and supplier coordination",Not assessed,"Approved/versioned plan; annual review"
PM-9,Risk Management Strategy,R-07,"Set risk appetite methods responsibilities and decision rules","Approved AI/system risk strategy and escalation thresholds",Not assessed,"Strategy; risk appetite; governance minutes"
PT-2,Authority to Process Personally Identifiable Information,"R-01; R-10","Document authority and purpose for each PII processing activity","Data inventory purpose/lawful-authority record and change review",Not assessed,"Privacy/legal approval; data map; notice"
RA-3,Risk Assessment,"R-02; R-07","Maintain scenario based system and AI risk assessment","EBIOS analysis reviewed after architecture and material change",Lab draft,"Approved assessment; review record; threat inputs"
SA-8,Security and Privacy Engineering Principles,R-07,"Apply secure privacy-preserving and human-centered design principles","Minimize outputs human review fail-safe behavior and contestability",Prototype partial,"Design review; UI test; threat model"
SA-10,Developer Configuration Management,R-02,"Version and control code data configuration documentation and releases","Git plus dataset/model digests and release linkage",Repository partial,"Repository settings; tagged release; lineage record"
SA-12,Supply Chain Protection,R-03,"Protect against supplier package model image and service compromise","Risk-based supplier controls trusted sources and build isolation",Prototype partial,"Supplier inventory; contracts; CI configuration"
SC-5,Denial-of-Service Protection,R-06,"Protect capacity and degrade safely","Gateway limits timeouts quotas and manual fallback",Prototype partial,"Load/abuse test; rate-limit config; fallback exercise"
SC-7,Boundary Protection,R-05,"Control connections and information flows across trust zones","Private endpoints egress restriction gateway and segmented ML zone",Not assessed,"Network diagram; rules; connectivity tests"
SC-8,Transmission Confidentiality and Integrity,R-01,"Protect sensitive flows in transit","TLS with managed certificates and authenticated service links",Not assessed,"TLS configuration; scan; certificate records"
SC-28,Protection of Information at Rest,R-01,"Protect customer training model secret and backup data at rest","Managed encryption and keys separated from data access",Not assessed,"Storage/KMS configuration; key access logs"
SI-2,Flaw Remediation,R-03,"Identify evaluate and remediate vulnerabilities within risk-based timeframes","pip-audit Trivy advisories and tracked remediation",Prototype partial,"Scan results; SLA; tickets; exceptions"
SI-4,System Monitoring,"R-05; R-07; R-08","Monitor security abuse quality fairness drift and failure indicators","Metrics by approved cohort plus query/admin anomalies",Prototype partial,"Dashboard; thresholds; alert test; review record"
SI-7,Software Firmware and Information Integrity,"R-02; R-03; R-04","Detect unauthorized change to code dependencies data and model artifacts","Lab SHA-256 verification; production signed provenance",Prototype partial,"Tamper test; signature/attestation; protected verification root"
SI-10,Information Input Validation,"R-02; R-05","Validate API data and training inputs against defined constraints","Pydantic request bounds and training schema/distribution checks",Prototype partial,"Automated negative tests; data-quality report"
SI-12,Information Management and Retention,R-10,"Manage information through retention disposal and minimization rules","Separate minimal audit metadata from sensitive analytics data",Not assessed,"Schedules; configuration; deletion evidence"
