measure_id,risk_ids,measure,control_refs,priority,implementation_status,assessment_evidence,accountable_role,target_gate
M-01,"R-01; R-09",Enterprise identity with phishing-resistant MFA for privileged access and centralized authorization,"IA-2; AC-2; AC-3",P0,Production not assessed,"IAM configuration; access test; access-review record","[DECISION REQUIRED] IAM Owner",Before pilot
M-02,"R-01; R-09",Least privilege separation of data prepare train approve deploy and audit roles,"AC-5; AC-6; CM-5",P0,Prototype partial,"Role matrix; denied-action tests; privileged logs","[DECISION REQUIRED] System Owner",Before pilot
M-03,"R-01; R-10",Data minimization encryption retention and log allowlisting,"SC-8; SC-28; PT-2; SI-12",P0,Prototype partial,"Data inventory; configs; log-content tests; deletion evidence","[DECISION REQUIRED] Data/Privacy Owner",Before pilot
M-04,"R-02; R-07; R-08",Versioned data lineage schema/quality/label/distribution and group checks,"SA-10; SI-10; RA-3",P0,Prototype partial,"Dataset digest; validation report; approval record","[DECISION REQUIRED] Data/Model Owner",Before pilot
M-05,"R-03",Trusted registries pinning SBOM vulnerability/license gates and provenance verification,"SA-12; SR-3; SR-4; SR-11; SI-2",P0,Prototype partial,"Lockfile; SBOM; scanner results; attestation","[DECISION REQUIRED] Supply-Chain Owner",Before pilot
M-06,"R-03; R-04; R-09",Protected repositories isolated builds short-lived credentials and two-person promotion,"AC-5; CM-3; CM-5; SA-10",P0,Repository partial,"Branch/environment settings; CI identity; approvals","[DECISION REQUIRED] Engineering Owner",Before pilot
M-07,"R-04",Immutable registry signed artifact trusted verification root deployment allowlist and rollback,"SI-7; CM-3",P0,Prototype hash only,"Signature verification test; registry ACL; rollback exercise","[DECISION REQUIRED] Model Platform Owner",Before pilot
M-08,"R-05; R-06",Purpose authorization input/output limits rate limits quotas anomaly detection and graceful fallback,"AC-3; SC-5; SC-7; SI-4; SI-10",P1,Prototype partial,"Gateway config; abuse/load tests; alert; fallback test","[DECISION REQUIRED] API/Service Owner",Before scale
M-09,"R-07; R-08",Approved model metrics fairness/segment analysis drift thresholds and stop/rollback/retrain actions,"CA-2; CA-7; PM-9; SA-8; SI-4",P0,Prototype procedure,"Independent validation; monitoring dashboard; alert drill","[DECISION REQUIRED] Model-Risk Owner",Before pilot
M-10,"R-06",Capacity resilience backup/recovery and manual fallback with approved RTO/RPO,"CP-2; CP-10; SI-13",P1,Production not assessed,"Load/recovery/fallback exercise","[DECISION REQUIRED] Service/Business Owner",Before scale
M-11,"R-01; R-04; R-09; R-10",Tamper-protected minimized audit trail with review alerts and retention,"AU-2; AU-3; AU-6; AU-9; AU-11",P0,Prototype partial,"Log schema; access config; alert simulation; retention test","[DECISION REQUIRED] Security/Logging Owner",Before pilot
M-12,"R-01; R-02; R-03; R-04; R-05; R-06; R-07; R-08; R-09; R-10",Incident response model rollback notification contest/redress and lessons learned,"IR-4; IR-6; IR-8",P1,Production not assessed,"Tabletop record; rollback/notification tests; updated plan","[DECISION REQUIRED] Incident/Business Owner",Before scale
