risk_id,title,feared_event,strategic_scenario,operational_scenario,risk_source,severity,likelihood,inherent_score,inherent_rating,treatment,control_ids,residual_severity,residual_likelihood,residual_score,residual_rating,residual_status,owner,status,rationale
R-01,Customer data disclosure through compromised identity or service,FE-01,SS-01,OS-01,Cybercriminal or insider,4,3,12,Critical,Reduce,"AC-2; AC-3; AC-6; IA-2; AU-2; SC-8; SC-28",4,2,8,High,Projected,"[DECISION REQUIRED] System/Data Owner",Open,"[ASSUMPTION] Severe privacy/trust impact; identity attacks are credible while real IAM and data exposure are unknown."
R-02,Training data poisoning or corruption,FE-02; FE-03; FE-06,SS-03,OS-02,Insider supply chain or process failure,4,3,12,Critical,Reduce,"CM-3; SA-10; SI-7; SI-10; RA-3",4,1,4,Medium,Projected,"[DECISION REQUIRED] Data/Model Owner",Open,"[ASSUMPTION] Corruption may scale into systematic recommendations; real lineage validation and approvals are unknown."
R-03,Open-source AI/software supply-chain compromise,FE-01; FE-02; FE-03; FE-04,SS-02,OS-03,Supply-chain attacker,4,3,12,Critical,Reduce,"SA-12; SR-3; SR-4; SR-11; SI-2; SI-7",4,1,4,Medium,Projected,"[DECISION REQUIRED] Engineering/Supply-Chain Owner",Open,"[ASSUMPTION] Open-source reliance is known but exact sources provenance build isolation and credentials are unknown."
R-04,Unauthorized model modification or deployment,FE-03; FE-07,SS-04,OS-04,Privileged insider or compromised admin,4,3,12,Critical,Reduce,"AC-5; AC-6; AU-2; CM-3; CM-5; SI-7",4,1,4,Medium,Projected,"[DECISION REQUIRED] Model/System Owner",Open,"[ASSUMPTION] A privileged change can affect recommendations at scale; promotion controls are unknown."
R-05,Model extraction or inference privacy attack,FE-01; FE-05,SS-05,OS-05,Competitor or API abuser,3,3,9,High,Reduce,"AC-3; AU-6; SC-7; SI-4; SI-10",3,2,6,Medium,Projected,"[DECISION REQUIRED] Model/Data Owner",Open,"[ASSUMPTION] Feasibility depends on interface access output precision rate limits and training-data sensitivity."
R-06,Recommendation service denial or dependency outage,FE-04,SS-06,OS-06,External abuser or process failure,3,3,9,High,Reduce,"CP-2; CP-10; SC-5; SI-13",3,1,3,Low,Projected,"[DECISION REQUIRED] Service Owner",Open,"[ASSUMPTION] Business impact and fallback/RTO are unknown; exposed APIs and AI compute can be resource constrained."
R-07,Unfair or invalid group performance,FE-06,SS-07,OS-07,Process/data failure,4,2,8,High,Reduce,"CA-2; PM-9; RA-3; SA-8; SI-4",4,1,4,Medium,Projected,"[DECISION REQUIRED] Business/Model-Risk Owner",Open,"[ASSUMPTION] Customer impact is potentially severe; actual groups uses thresholds and legal context are unknown."
R-08,Undetected model/data drift degrades recommendations,FE-06,SS-07,OS-07,Process failure,3,3,9,High,Reduce,"CA-7; SI-4; SI-13",3,1,3,Low,Projected,"[DECISION REQUIRED] Model Owner",Open,"[ASSUMPTION] Periodic use implies drift can occur; monitoring and retraining triggers are unknown."
R-09,Privileged insider misuse across data model or administration,FE-01; FE-02; FE-03; FE-05; FE-07,SS-01; SS-04,OS-01; OS-04,Malicious or coerced insider,4,3,12,Critical,Reduce,"AC-2; AC-5; AC-6; AU-6; CM-5; IA-2",4,2,8,High,Projected,"[DECISION REQUIRED] Security/System Owner",Open,"[ASSUMPTION] Privileged access is necessary somewhere in the lifecycle; actual separation monitoring and reviews are unknown."
R-10,Sensitive data leakage through logs and evidence,FE-01; FE-07,SS-08,OS-08,Insider or process failure,3,2,6,Medium,Reduce,"AU-3; AU-9; AU-11; PT-2; SI-12",3,1,3,Low,Projected,"[DECISION REQUIRED] Privacy/Logging Owner",Open,"[ASSUMPTION] ML observability may collect high-dimensional request/output data; log schema and access are unknown."
